Booth #,Booth,Food name / description,Price,Notes,Category,id
10,Cheese,Once Upon a Vine’s A Charming Pinot,$2.50,,Beverage,che-cha
7,China,Mongolian Beef in a Steamed Bun,$5.00,DDP Snack Eligible,Food,chi-mon
7,China,Black Pepper Shrimp with Sichuan Noodles,$5.50,DDP Snack Eligible,Food,chi-bla
7,China,Chicken Potstickers,$4.00,DDP Snack Eligible,Food,chi-chi
7,China,"Silky Spun Ice with Toppings (three flavors: Coconut, Strawberry, Chocolate)",$3.95,"Vegetarian, DDP Snack Eligible",Food,chi-sil
7,China,Tsing Tao Beer,$6.50,,Beverage,chi-tsi
7,China,Francis Ford Coppola Su Yuen Riesling,$3.50,,Beverage,chi-rie
7,China,Francis Ford Coppola Su Yuen Syrah,$3.50,,Beverage,chi-syr
7,China,Kung Fu Punch with Vodka,$8.00,,Beverage,chi-kun
7,China,Happy Lychee with Vodka,$8.00,,Beverage,chi-hap
7,China,Lychee Aerated Water,$3.00,DDP Snack Eligible,Beverage (Alcohol-free),chi-lyc
30,Craft Beers,"Dogfish Head Brewery, Namaste",$3.50 – $6.75 – $12.25,*,Beverage,cra-dog
30,Craft Beers,"Abita Brewing Company, Fall Fest",$3.50 – $6.75 – $12.25,*,Beverage,cra-abi
30,Craft Beers,"Leinenkugel’s® Seasonal Shandy, (Summer Shandy/Orange Shandy)",$3.50 – $6.75 – $12.25,*,Beverage,cra-lei
30,Craft Beers,"Florida Beer Company, Devil’s Triangle",$3.50 – $6.75 – $12.25,*,Beverage,cra-flo
30,Craft Beers,"New Belgium Brewing Company, Fat Tire",$3.50 – $6.75 – $12.25,*,Beverage,cra-new
30,Craft Beers,"Widmer Brothers Brewing®, Alchemy Ale",$3.50 – $6.75 – $12.25,*,Beverage,cra-wid
30,Craft Beers,"Red Hook, Audible Ale",$3.50 – $6.75 – $12.25,*,Beverage,cra-red
30,Craft Beers,"Sierra Nevada, Torpedo® Extra IPA",$3.50 – $6.75 – $12.25,*,Beverage,cre-sie
30,Craft Beers,"Beer Flight 1: Dogfish Head Brewery Namaste, Abita Brewing Company Fall Fest, Leinenkugel’s® Seasonal Shandy, Florida Beer Company Devil’s Triangle",$13.00,,Beverage,cra-be1
30,Craft Beers,"Beer Flight 2: New Belgium Brewing Company Fat Tire, Widmer Brother s Brewing Alchemy Ale, Red Hook Audible Ale, Sierra Nevada Torpedo®",$13.00,,Beverage,cra-be2
27,Desserts & Champagne,Chocolate Orange Cupcake,$1.75,"Vegetarian, DDP Snack Eligible",Dessert,des-cho
27,Desserts & Champagne,Hazelnut Chocolate Cheesecake,$1.75,"Vegetarian, DDP Snack Eligible",Dessert,des-haz
27,Desserts & Champagne,Morello Cherry Pistachio Mousse,$1.75,"Vegetarian, DDP Snack Eligible",Dessert,des-mor
27,Desserts & Champagne,Dessert Trio,$4.00,DDP Snack Eligible,Dessert,des-des
27,Desserts & Champagne,Guylian Belgian Chocolate Seashell Truffles,$1.75,DDP Snack Eligible,Dessert,des-guy
27,Desserts & Champagne,Frozen S’mores,$3.00,DDP Snack Eligible,Dessert,des-fro
27,Desserts & Champagne,Pyramid™Weiss Cream Beer,$3.50 – $6.75 – $12.25,,Beverage,des-pyr
27,Desserts & Champagne,Möet & Chandon Ice Impérial,$13.25,,Beverage,des-ice
27,Desserts & Champagne,Möet & Chandon Impérial,$10.50,,Beverage,des-imp
27,Desserts & Champagne,Möet & Chandon Nectar Impérial Rosé,$11.75,,Beverage,des-nec
27,Desserts & Champagne,Nicolas Feuillatte Rosé,$12.00,,Beverage,des-nic
15 ½,Fife and Drum,Skinnygirl California White Blend,,,Beverage,fif-ski
17,Florida Local,Florida Grass Fed Beef Slider with Monterey Jack and Sweet & Hot Pickles,$3.75,DDP Snack Eligible,Food,flo-gra
17,Florida Local,Florida Shrimp Ceviche with Fire Roasted Vegetables and Micro Cilantro,$4.25,DDP Snack Eligible,Food,flo-shr
17,Florida Local,Cigar City Brewing Florida Cracker Belgian-style White Ale,$3.50 – $6.75 – $12.25,,Beverage,flo-cig
17,Florida Local,"Orlando Brewing, Sun Shade Organic Pale Ale",$3.50 – $6.75 – $12.25,,Beverage,flo-orl
17,Florida Local,"Florida Orange Groves, Hurricane Class 5 White Sangria",$3.25,,Beverage,flo-hur
17,Florida Local,"Florida Orange Groves, Key Limen-Key Lime Wine",$2.75,,Beverage,flo-key
22,France,Escargots Persillade en Brioche (Garlic and Parsley Snails in Brioche),$5.25,DDP Snack Eligible,Food,fra-esc
22,France,Boeuf Bourguignon (Braised Short Ribs in Cabernet with Mashed Potatoes),$5.50,DDP Snack Eligible,Food,fra-boe
22,France,Crème Brûlée au Chocolat au Lait (Chocolate Milk Crème Brûlée topped with Caramelized Sugar),$4.00,"Vegetarian, DDP Snack Eligible",Dessert,fra-cre
22,France,Beer Kronenbourg Blanc,$7.00,,Beverage,fra-bee
22,France,"Chardonnay, Macon-Villages, La Côte Blanche",$5.75,,Beverage,fra-cha
22,France,"Cabernet Sauvignon, Bordeaux, Château Bonnet",$5.95,,Beverage,fra-cab
22,France,Sparkling Pomegranate Kir,$7.95,,Beverage,fra-spa
